Nome,Saldo
Aaron Batz,508.0
Aaron Bauch,-12.0
Aaron Corkery,454.0
Aaron Dickinson Esq.,163.0
Aaron Farrell,168.0
Aaron Fritsch DDS,447.0
Aaron Hickle,571.0
Aaron Hickle,548.0
Aaron Hoeger,356.0
Aaron Jaskolski,245.0
Aaron Kiehn,362.0
Aaron Koepp,-96.0
Aaron Langosh,56.0
Aaron Lueilwitz,-30.0
Aaron Medhurst,206.0
Aaron Murazik,463.0
Aaron O'Conner,781.0
Aaron Olson,529.0
Aaron Reynolds,518.0
Aaron Rogahn,346.0
Aaron Schimmel,478.0
Aaron Schmidt IV,336.0
Aaron Schroeder,642.0
Aaron Schuster,61.0
Aaron Swaniawski,96.0
Aaron Ullrich,762.0
Aaron Wintheiser,18.0
Aaron Wolff,545.0
Abbey Blick DC,6.0
Abbey Cormier PhD,90.0
Abbey D'Amore,217.0
Abbey Feeney,875.0
Abbey Goodwin,-110.0
Abbey Howell,216.0
Abbey Kihn IV,407.0
Abbey Lemke,246.0
Abbey Stokes,768.0
Abbey Stokes,18.0
Abbey Turner,892.0
Abbey Will,856.0
Abbie Abshire,783.0
Abbie Beier Esq.,527.0
Abbie Braun DO,562.0
Abbie Davis,564.0
Abbie DuBuque,46.0
Abbie Ebert,727.0
Abbie King,235.0
Abbie Kutch,529.0
Abbie Rosenbaum,584.0
Abbie Schneider,652.0
Abbie Schultz,634.0
Abby Aufderhar,360.0
Abby Collier,-25.0
Abby Collins,65.0
Abby Gutkowski,455.0
Abby Hegmann CPA,789.0
Abby Huel,381.0
Abby Kuhic,710.0
Abby Padberg Ret.,792.0
Abby Rath,319.0
Abby Waters,636.0
Abby White,737.0
Abdul Adams,250.0
Abdul Bergnaum,681.0
Abdul Bernier,22.0
Abdul Bins,333.0
Abdul Bradtke I,108.0
Abdul Brakus,843.0
Abdul Braun,642.0
Abdul Casper,818.0
Abdul Collier,454.0
Abdul Conroy,759.0
Abdul Crist,703.0
Abdul Feil,586.0
Abdul Gerlach,-133.0
Abdul Gorczany,340.0
Abdul Greenfelder DO,178.0
Abdul Grimes,93.0
Abdul Haag DVM,248.0
Abdul Heathcote DO,515.0
Abdul Hodkiewicz,153.0
Abdul Hudson,127.0
Abdul Jaskolski,206.0
Abdul Johnson,334.0
Abdul Kub,504.0
Abdul Kuhn,71.0
Abdul Lebsack,546.0
Abdul Lubowitz,601.0
Abdul Mueller Sr.,603.0
Abdul Nicolas I,71.0
Abdul Nienow DVM,366.0
Abdul Nitzsche,-11.0
Abdul O'Connell JD,535.0
